Titulo;Descripcion;Categoria;latitud;longitud;fecha_hecho
13299;Ruta Nacional N° 93;Colisión vehículo-vehículo;;;
13299;Ruta Nacional N° 93;Colisión vehículo-vehículo;;;
13299;Ruta Nacional N° 93;Colisión vehículo-vehículo;;;
13300;oroño;Colisión vehículo-vehículo;-33;-61;
13300;oroño;Colisión vehículo-vehículo;-33;-61;
13301;Av. Simón de Iriondo;Colisión vehículo-vehículo;-31;-61;
13301;Av. Simón de Iriondo;Colisión vehículo-vehículo;-31;-61;
13301;Av. Simón de Iriondo;Colisión vehículo-vehículo;-31;-61;
13302;Ruta Pcial. 70;Colisión vehículo-vehículo;-31;-61;
13302;Ruta Pcial. 70;Colisión vehículo-vehículo;-31;-61;
13302;Ruta Pcial. 70;Colisión vehículo-vehículo;-31;-61;
13303;RUTA PCIAL N °65;Colisión vehículo-vehículo;-32;-61;
13303;RUTA PCIAL N °65;Colisión vehículo-vehículo;-32;-61;
13304;3 DE FEBRERO;Vuelco-Despistes;-33;-61;
13304;3 DE FEBRERO;Vuelco-Despistes;-33;-61;
13305;SAN LORENZO;Colisión vehículo-persona;-33;-61;
13305;SAN LORENZO;Colisión vehículo-persona;-33;-61;
13306;RUTA AO12;Vuelco-Despistes;-33;-61;
13306;RUTA AO12;Vuelco-Despistes;-33;-61;
13317;Av. CIRCUMBALACION OESTE;Colisión vehículo-vehículo;-32;-61;
13317;Av. CIRCUMBALACION OESTE;Colisión vehículo-vehículo;-32;-61;
13318;J. J. Paso;Vuelco-Despistes;-32;-61;
13318;J. J. Paso;Vuelco-Despistes;-32;-61;
13319;Brigadier lopez;Vuelco-Despistes;-32;-61;
13319;Brigadier lopez;Vuelco-Despistes;-32;-61;
13320;Alte. Brown;Colisión vehículo-objeto;-32;-61;
13320;Alte. Brown;Colisión vehículo-objeto;-32;-61;
13321;S. del Carril;Colisión vehículo-vehículo;-32;-61;
13321;S. del Carril;Colisión vehículo-vehículo;-32;-61;
13322;Belgrano;Colisión vehículo-persona;-32;-61;
13322;Belgrano;Colisión vehículo-persona;-32;-61;
