Titulo;Descripcion;Categoría;latitud;longitud;fecha del hecho;;;;;
275;Vuelco-Despistes;Accidente automovilistico;-22;-65;29/8/2017;;;;;
276;Vuelco-Despistes;Accidente automovilistico;-22;-65;29/8/2017;;;;;
277;Colisión vehículo-persona;Accidente automovilistico;-23;-64;27/8/2017;;;;;
278;Colisión vehículo-persona;Accidente automovilistico;-23;-64;27/8/2017;;;;;
279;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;2/3/2017;;;;;
280;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;2/3/2017;;;;;
281;Vuelco-Despistes;Accidente automovilistico;-49;-68;28/8/2017;;;;;
282;Vuelco-Despistes;Accidente automovilistico;-49;-68;28/8/2017;;;;;
283;Colisión vehículo-objeto;Accidente automovilistico;-32;-69;23/7/2017;;;;;
284;Colisión vehículo-objeto;Accidente automovilistico;-32;-69;23/7/2017;;;;;
285;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;28/6/2017;;;;;
286;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;28/6/2017;;;;;
287;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;6/5/2017;;;;;
288;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;6/5/2017;;;;;
289;Colisión vehículo-vehículo;Accidente automovilistico;-32;-69;18/8/2017;;;;;
290;Colisión vehículo-vehículo;Accidente automovilistico;-32;-69;18/8/2017;;;;;
291;Otro;Accidente automovilistico;-25;-65;3/9/2017;;;;;
292;Otro;Accidente automovilistico;-25;-65;3/9/2017;;;;;
293;Otro;Accidente automovilistico;-23;-64;9/9/2017;;;;;
294;Otro;Accidente automovilistico;-23;-64;9/9/2017;;;;;
295;Vuelco-Despistes;Accidente automovilistico;-25;-64;16/9/2017;;;;;
296;Vuelco-Despistes;Accidente automovilistico;-25;-64;16/9/2017;;;;;
297;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;16/9/2017;;;;;
298;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;16/9/2017;;;;;
299;Colisión vehículo-vehículo;Accidente automovilistico;-32;-69;8/8/2017;;;;;
300;Colisión vehículo-vehículo;Accidente automovilistico;-32;-69;8/8/2017;;;;;
301;Colisión vehículo-vehículo;Accidente automovilistico;-27;-65;27/4/2017;;;;;
302;Colisión vehículo-vehículo;Accidente automovilistico;-27;-65;27/4/2017;;;;;
303;Colisión vehículo-vehículo;Accidente automovilistico;-55;-68;18/7/2017;;;;;
304;Colisión vehículo-vehículo;Accidente automovilistico;-55;-68;18/7/2017;;;;;
305;Colisión vehículo-vehículo;Accidente automovilistico;-28;-68;16/5/2017;;;;;
306;Colisión vehículo-vehículo;Accidente automovilistico;-28;-68;16/5/2017;;;;;
307;Colisión vehículo-vehículo;Accidente automovilistico;-26;-58;22/4/2017;;;;;
308;Colisión vehículo-vehículo;Accidente automovilistico;-26;-58;22/4/2017;;;;;
309;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;22/7/2017;;;;;
310;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;22/7/2017;;;;;
311;Colisión vehículo-vehículo;Accidente automovilistico;-25;-61;30/4/2017;;;;;
312;Colisión vehículo-vehículo;Accidente automovilistico;-25;-61;30/4/2017;;;;;
313;Otro;Accidente automovilistico;-26;-58;15/4/2017;;;;;
314;Otro;Accidente automovilistico;-26;-58;15/4/2017;;;;;
315;Colisión vehículo-objeto;Accidente automovilistico;-25;-60;14/4/2017;;;;;
316;Vuelco-Despistes;Accidente automovilistico;-46;-71;1/9/2017;;;;;
317;Vuelco-Despistes;Accidente automovilistico;-46;-71;1/9/2017;;;;;
318;Colisión vehículo-persona;Accidente automovilistico;-32;-69;24/8/2017;;;;;
319;Colisión vehículo-persona;Accidente automovilistico;-32;-69;24/8/2017;;;;;
320;Colisión vehículo-vehículo;Accidente automovilistico;-32;-68;8/8/2017;;;;;
321;Colisión vehículo-vehículo;Accidente automovilistico;-32;-68;8/8/2017;;;;;
